N=100000000 D=3 K=1.000000
day	S	I	R
0	100000000	0	0
1	99999999	1	0
2	99999998	2	0
3	99999996	4	0
4	99999992	7	1
5	99999985	13	2
6	99999972	24	4
7	99999948	44	8
8	99999904	81	15
9	99999823	149	28
10	99999674	274	52
11	99999400	504	96
12	99998896	927	177
13	99997969	1705	326
14	99996264	3136	600
15	99993128	5768	1104
16	99987361	10608	2031
17	99976754	19510	3736
18	99957249	35879	6872
19	99921385	65976	12639
20	99855461	121294	23246
21	99734342	222907	42751
22	99512028	409357	78615
23	99104668	750792	144539
24	98360598	1373744	265658
25	97009375	2502652	487972
26	94581568	4523100	895332
27	90303549	8057050	1639402
28	83027747	13981629	2990625
29	71419116	23162452	5418432
30	54876697	35426852	9696451
31	35435611	47592136	16972253
32	18571047	52848069	28580884
33	8756607	46120090	45123303
34	4718052	30717559	64564389
35	3268782	15302265	81428953
36	2768584	5988023	91243393
37	2602801	2115252	95281948
38	2547745	721037	96731218
39	2529375	239209	97231416
40	2523324	79476	97397199
41	2521319	26426	97452255
42	2520652	8722	97470625
43	2520433	2892	97476676
44	2520360	959	97478681
45	2520335	317	97479348
46	2520328	105	97479567
47	2520325	35	97479640
48	2520324	12	97479665
49	2520324	4	97479672
50	2520324	1	97479675
51	2520324	0	97479676
